60 12
 Fo Kpol Kvn KPD SINЛ ЛИН,кГ Fo1 Kpol1 Kvn1 KPD1 SINЛ1 ЛИН1,кГ
 0.0590 0.39   0.877  0.444  0.36   0.65   0.0589 0.39   0.877  0.444  0.36   0.65  
 0.0591 0.39   0.877  0.444  0.36   0.65   0.0589 0.39   0.877  0.444  0.36   0.65  
 0.0592 0.39   0.877  0.444  0.36   0.65   0.0589 0.39   0.877  0.444  0.36   0.65  
 0.0593 0.39   0.877  0.444  0.36   0.65   0.0589 0.39   0.877  0.444  0.36   0.65  
 0.0594 0.39   0.877  0.444  0.36   0.65   0.0589 0.39   0.877  0.444  0.36   0.65  
 0.0601 0.25   0.823  0.304  0.45   0.66   0.0601 0.25   0.823  0.304  0.45   0.66  
 0.0602 0.25   0.823  0.304  0.45   0.66   0.0601 0.25   0.823  0.304  0.45   0.66  
 0.0603 0.25   0.823  0.304  0.45   0.66   0.0601 0.25   0.823  0.304  0.45   0.66  
 0.0604 0.25   0.823  0.304  0.45   0.66   0.0601 0.25   0.823  0.304  0.45   0.66  
 0.0605 0.25   0.823  0.304  0.45   0.66   0.0601 0.25   0.823  0.304  0.45   0.66  
 0.0606 0.25   0.823  0.304  0.45   0.66   0.0601 0.25   0.823  0.304  0.45   0.66  
